Point ID,Date,Time,Easting ,Northing,Elevation,Accuracy (?),Accuracy (?)
TR0500092    ,26/10/2022,14:03:48,115685.14999999999,558599.97400000005,-1.0680000000000001,0.01,0.01
TR0500093    ,26/10/2022,14:03:49,115685.785,558599.56299999997,-1.073,0.01,0.01
TR0500094    ,26/10/2022,14:03:50,115686.389,558599.14800000004,-1.089,0.01,0.01
TR0500095    ,26/10/2022,14:03:51,115686.947,558598.71200000006,-1.095,0.01,0.01
TR0500096    ,26/10/2022,14:03:52,115687.50999999999,558598.33799999999,-1.1080000000000001,0.01,0.01
TR0500097    ,26/10/2022,14:03:53,115688.113,558597.98300000001,-1.1100000000000001,0.01,0.01
TR0500098    ,26/10/2022,14:03:54,115688.72199999999,558597.505,-1.0960000000000001,0.01,0.01
TR0500099    ,26/10/2022,14:03:55,115689.367,558597.10900000005,-1.121,0.01,0.01
TR0500100    ,26/10/2022,14:03:55,115690.039,558596.69400000002,-1.1259999999999999,0.01,0.01
TR0500101    ,26/10/2022,14:03:57,115690.66499999999,558596.34900000005,-1.133,0.01,0.01
TR0500102    ,26/10/2022,14:03:58,115691.24400000001,558596.00699999998,-1.137,0.01,0.01
TR0500103    ,26/10/2022,14:03:58,115691.923,558595.47600000002,-1.1439999999999999,0.01,0.01
TR0500104    ,26/10/2022,14:03:60,115692.58500000001,558595.06700000004,-1.133,0.01,0.01
TR0500105    ,26/10/2022,14:04:01,115693.258,558594.527,-1.1459999999999999,0.01,0.01
TR0500106    ,26/10/2022,14:04:01,115693.863,558594.049,-1.1399999999999999,0.01,0.01
TR0500107    ,26/10/2022,14:04:03,115694.526,558593.59699999995,-1.151,0.01,0.01
TR0500108    ,26/10/2022,14:04:04,115695.178,558593.14399999997,-1.1499999999999999,0.01,0.01
TR0500109    ,26/10/2022,14:04:05,115695.719,558592.68400000001,-1.157,0.01,0.01
TR0500110    ,26/10/2022,14:04:06,115696.45699999999,558592.12699999998,-1.1659999999999999,0.01,0.01
TR0500111    ,26/10/2022,14:04:07,115697.12699999999,558591.65099999995,-1.1539999999999999,0.01,0.01
TR0500112    ,26/10/2022,14:04:08,115697.704,558591.25800000003,-1.1699999999999999,0.01,0.01
TR0500113    ,26/10/2022,14:04:09,115698.337,558590.72699999996,-1.155,0.01,0.01
TR0500114    ,26/10/2022,14:04:10,115699.015,558590.24199999997,-1.1659999999999999,0.01,0.01
