x,y
116692.2998,559422.0684
116948.0107,559615.6957
116998.0035,559657.5465
117047.8203,559699.9109
117097.9277,559743.0774
117147.6928,559786.6394
117197.3256,559830.6664
117247.2458,559875.4975
117297.2391,559920.9547
117347.0849,559966.7885
117396.9376,560013.0979
115197.6652,558031.0838
115247.6689,558104.6449
115297.6278,558174.4536
115347.5884,558240.8048
115397.7404,558304.1719
115447.7241,558364.3313
115790.3227,558727.156
115848.1133,558762.9364
115898.1756,558805.1829
115948.1419,558846.2335
115998.2359,558886.4116
116048.1739,558925.6458
116098.312,558964.337
116148.2355,559002.3153
116198.3383,559039.9831
116248.2562,559077.2037
116298.1694,559114.207
116348.306,559151.2674
116398.262,559188.1877
116448.2061,559225.1769
116498.2331,559262.3884
116548.1389,559299.746
116598.1935,559337.5238
116648.1505,559375.5948
116692.8633,559421.2422
116948.508,559614.8281
116998.5026,559656.68
117048.3652,559699.0724
117098.4458,559742.2221
117148.2696,559785.8225
117197.9942,559829.9228
117247.9343,559874.7724
117297.9294,559920.2311
117347.8137,559966.1038
117397.7032,560012.4546
115248.4459,558104.0155
115298.4185,558173.8414
115348.3923,558240.21
115398.4936,558303.5141
115448.4827,558363.6798
115790.9691,558726.393
115848.7422,558762.159
115898.7837,558804.3891
115948.7612,558845.4484
115998.8239,558885.6028
116048.7826,558924.8524
116098.8747,558963.5103
116148.8237,559001.5066
116198.8922,559039.1505
116248.8375,559076.39
116298.7796,559113.4148
116348.8706,559150.4421
116498.822,559261.5803
116548.7592,559298.9617
116598.7957,559336.7255
116648.767,559374.8075
116693.4267,559420.416
116999.0017,559655.8135
117048.9101,559698.234
117098.9639,559741.3668
117148.8464,559785.0057
117198.6628,559829.1792
117248.6229,559874.0472
117298.6196,559919.5075
117348.5425,559965.419
117398.4688,560011.8113
115249.223,558103.386
115299.2093,558173.2293
115349.1961,558239.6152
115399.2468,558302.8563
115899.3919,558803.5952
115949.3806,558844.6633
115999.412,558884.7939
116049.3913,558924.059
116099.4373,558962.6836
116149.4118,559000.6978
116199.4461,559038.318
116249.4187,559075.5763
116299.3898,559112.6225
116499.411,559260.7721
116549.3796,559298.1774
116599.3978,559335.9271
116649.3835,559374.0201
116693.9901,559419.5899
116999.5009,559654.9469
117049.4551,559697.3955
117099.4819,559740.5114
117149.4232,559784.1888
117199.3314,559828.4355
117249.3114,559873.322
117299.3098,559918.7839
117349.2712,559964.7343
117399.2344,560011.168
115250,558102.7566
115300,558172.6171
115350,558239.0204
115400,558302.1985
115900,558802.8014
115950,558843.8782
116000,558883.9851
116050,558923.2656
116100,558961.8569
116150,558999.8891
116200,559037.4854
116250,559074.7626
116300,559111.8303
116550,559297.3931
116600,559335.1287
116650,559373.2328
116694.5535,559418.7637
117000,559654.0804
117050,559696.557
117100,559739.6561
117150,559783.3719
117200,559827.6919
117250,559872.5968
117300,559918.0603
117350,559964.0495
117400,560010.5247
115250.777,558102.1272
115300.7907,558172.0049
115350.8039,558238.4256
115900.6081,558802.0076
115950.6194,558843.0931
116000.588,558883.1763
116050.6087,558922.4722
116100.5627,558961.0302
116150.5882,558999.0804
